Threshold	Precision	Recall
0.00	0.102659	1.000000
0.05	0.667589	0.958006
0.10	0.718236	0.945633
0.15	0.750822	0.934707
0.20	0.773375	0.925116
0.25	0.794143	0.914255
0.30	0.812414	0.902821
0.35	0.828339	0.891004
0.40	0.841456	0.879638
0.45	0.854657	0.866507
0.50	0.867301	0.852045
0.55	0.878748	0.836081
0.60	0.888583	0.819722
0.65	0.898667	0.800486
0.70	0.908517	0.778979
0.75	0.918369	0.753810
0.80	0.927309	0.726598
0.85	0.937129	0.690500
0.90	0.947685	0.641758
0.95	0.960059	0.563654
1.00	1.000000	0.000189
